GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonFactory,42,0,0,0,10,0,2,0,2,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadataProvider,19,0,4,0,4,0,4,0,2,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokedex,78,0,4,0,20,0,9,0,7,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadata,9,24,0,0,3,9,3,3,3,3
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainerFactory,19,0,0,0,3,0,2,0,2,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexFactory,9,0,0,0,2,0,2,0,2,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonComparators,54,0,0,0,8,0,3,0,3,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokemon,12,26,0,0,4,8,4,2,4,2
